Año,Línea,Estación,Total
2011,6,Norte 45,"2,897,581"
2011,6,Vallejo,"2,631,004"
2011,6,Inst. del Petróleo,"1,626,530"
2011,6,Lindavista,"6,702,887"
2011,6,Deptvo. 18 de Marzo,"1,037,452"
2011,6,La Villa-Basilica,"5,514,601"
2011,6,Martín Carrera,"10,503,468"
2011,7,El Rosario,"8,581,690"
2011,7,Aquiles Serdán,"6,804,904"
2011,7,Camarones,"6,470,973"
2011,7,Refinería,"3,971,679"
2011,7,Tacuba,"3,509,471"
2011,7,San Joaquín,"7,958,125"
2011,7,Polanco,"11,752,129"
2011,7,Auditorio,"9,826,414"
2011,7,Constituyentes,"2,991,654"
2011,7,Tacubaya,"2,851,723"
2011,7,San Pedro los Pinos,"4,837,591"
2011,7,San Antonio,"6,000,443"
2011,7,Mixcoac,"10,106,667"
2011,7,Barranca del Muerto,"14,713,409"
2011,8,Garibaldi,"8,376,277"
2011,8,Bellas Artes,"7,759,712"
2011,8,San Juan Letrán,"9,907,337"
2011,8,Salto del Agua,"6,460,539"
2011,8,Doctores,"4,851,908"
2011,8,Obrera,"6,273,363"
2011,8,Chabacano,"1,436,440"
2011,8,La Viga,"2,929,749"
2011,8,Santa Anita,"2,525,619"
2011,8,Coyuya,"8,690,390"
2011,8,Iztacalco,"8,348,069"
2011,8,Apatlaco,"5,676,621"
2011,8,Aculco,"4,845,474"
2011,8,Escuadrón 201,"10,191,763"
2011,8,Atlalilco,"7,393,587"
2011,8,Iztapalapa,"4,001,271"
2011,8,Cerro de la Estrella,"5,546,258"
2011,8,U A M  I,"11,806,384"
2011,8,Constitución de 1917,"30,892,638"
2011,9,Pantitlán,"16,626,950"
2011,9,Puebla,"12,265,580"
2011,9,Ciudad Deportiva,"2,659,695"
2011,9,Velódromo,"3,643,648"
2011,9,Mixiuhca,"9,160,899"
2011,9,Jamaica,"5,112,575"
2011,9,Chabacano,"4,783,262"
2011,9,Lázaro Cárdenas,"5,488,740"
2011,9,Centro Médico,"5,735,048"
2011,9,Chilpancingo,"15,755,336"
2011,9,Patriotismo,"6,691,716"
2011,9,Tacubaya,"18,452,591"
2011,A,Pantitlán,"26,306,299"
2011,A,Agrícola Oriental,"4,343,869"
2011,A,Canal de San Juan,"5,388,330"
2011,A,Tepalcates,"6,752,766"
2011,A,Guelatao,"8,028,155"
2011,A,Peñón Viejo,"7,018,146"
2011,A,Acatitla,"7,232,931"
2011,A,Santa Marta,"13,104,621"
2011,A,Los Reyes,"9,744,720"
2011,A,La Paz,"11,575,161"
2011,B,Buenavista,"16,367,559"
2011,B,Guerrero,"2,091,498"
2011,B,Garibaldi,"3,057,867"
2011,B,Lagunilla,"8,480,735"
2011,B,Tepito,"8,388,866"
2011,B,Morelos,"2,080,137"
2011,B,San Lázaro,"6,285,759"
2011,B,Ricardo Flores Magón,"2,594,400"
2011,B,Romero Rubio,"4,082,715"
2011,B,Oceanía,"4,580,438"
2011,B,Deportivo Oceanía,"7,063,223"
2011,B,Bosque de Aragón,"2,488,853"
2011,B,Villa de Aragón,"5,263,844"
2011,B,Nezahualcóyotl,"10,338,172"
2011,B,Impulsora,"11,310,024"
2011,B,Río de los Remedios,"6,621,059"
2011,B,Múzquiz,"13,806,361"
2011,B,Tecnológico,"11,616,752"
2011,B,Olímpica,"7,516,312"
2011,B,Plaza Aragón,"8,563,763"
2011,B,Ciudad Azteca,"20,594,191"
